Log_ID,Server_ID,Server_Cluster,Log_Timestamp,CPU_Utilization (%),Memory_Usage (%),Disk_IO (%),Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Uptime (Hours),Downtime (Hours),Station,Hostname,IP_Address,OS_Type,Server_Location,Admin_Name,Admin_Email,Admin_Phone,Uptime_Pct,Is_Healthy
Station1_LOG00011,SRV063,CL-10,2025-08-01 18:18:00,83.89,56.5,63.52,13.31,1.49,203.94,5.71,Station1,host-063,10.0.167.228,Windows,New York,Alice,alice@xyzcorp.com,+1-202-531-6896,97.27641306940139,False
Station1_LOG00012,SRV011,CL-7,2025-08-02 05:24:00,65.37,69.4,12.46,23.36,10.03,284.25,0.21,Station1,host-011,10.0.220.226,Windows,Singapore,Fiona,fiona@xyzcorp.com,+1-202-230-1591,99.9261759122548,True
Station1_LOG00013,SRV071,CL-2,2025-08-02 03:14:00,33.95,42.02,68.23,23.66,20.48,830.93,3.9,Station1,host-071,10.0.214.19,Linux,Frankfurt,Hannah,hannah@xyzcorp.com,+1-202-151-5538,99.53283902111806,True
Station1_LOG00014,SRV054,CL-9,2025-08-01 18:08:00,29.93,65.16,39.43,27.89,21.67,599.71,5.17,Station1,host-054,10.0.204.57,Windows,Mumbai,Charlie,charlie@xyzcorp.com,+1-202-817-1167,99.14528501520964,True
Station1_LOG00015,SRV096,CL-4,2025-08-01 03:48:00,59.13,64.05,59.49,4.72,12.68,608.73,4.32,Station1,host-096,10.0.247.66,Windows,Frankfurt,Diana,diana@xyzcorp.com,+1-202-789-3073,99.29532664546122,True
Station1_LOG00016,SRV073,CL-3,2025-08-01 08:12:00,35.99,55.91,35.83,28.75,11.0,981.86,7.35,Station1,host-073,10.0.191.2,Linux,New York,George,george@xyzcorp.com,+1-202-749-4405,99.25698284489644,True
Station1_LOG00017,SRV097,CL-3,2025-08-02 22:20:00,69.55,62.19,74.52,13.93,12.4,225.95,4.09,Station1,host-097,10.0.44.225,Linux,New York,Diana,diana@xyzcorp.com,+1-202-789-3073,98.22204833941923,True
Station1_LOG00018,SRV071,CL-2,2025-08-02 22:33:00,76.61,30.5,49.33,0.86,13.82,146.02,0.18,Station1,host-071,10.0.214.19,Linux,Frankfurt,Hannah,hannah@xyzcorp.com,+1-202-151-5538,99.87688098495212,True
Station1_LOG00019,SRV020,CL-9,2025-08-02 20:18:00,70.23,42.22,65.07,25.64,12.98,656.71,1.09,Station1,host-020,10.0.236.93,Windows,London,Bob,bob@xyzcorp.com,+1-202-691-4215,99.83429613864396,True
Station1_LOG00020,SRV012,CL-3,2025-08-02 15:09:00,65.03,36.57,48.31,1.52,21.74,804.1,2.72,Station1,host-012,10.0.183.117,Windows,Singapore,Fiona,fiona@xyzcorp.com,+1-202-230-1591,99.66287399915718,True
Station1_LOG00021,SRV071,CL-2,2025-08-01 12:00:00,59.5,88.15,41.525000000000006,3.42,0.68,458.93,4.74,Station1,host-071,10.0.214.19,Linux,Frankfurt,Hannah,hannah@xyzcorp.com,+1-202-151-5538,98.97772122414649,False
Station1_LOG00022,SRV043,CL-8,2025-08-02 06:13:00,18.02,57.13,7.6,29.17,22.15,906.9,2.93,Station1,host-043,10.0.177.175,Linux,Singapore,Bob,bob@xyzcorp.com,+1-202-691-4215,99.67796181704274,True
Station1_LOG00023,SRV094,CL-8,2025-08-01 02:22:00,79.66,71.04,40.72,18.96,14.48,695.5,8.79,Station1,host-094,10.0.160.175,Linux,Singapore,Ethan,ethan@xyzcorp.com,+1-202-853-1213,98.75193457240627,True
Station1_LOG00024,SRV056,CL-4,2025-08-01 10:38:00,23.52,54.28,39.85,28.84,21.98,949.75,1.95,Station1,host-056,10.0.140.244,Windows,New York,George,george@xyzcorp.com,+1-202-749-4405,99.79510349900178,True
Station1_LOG00025,SRV084,CL-9,2025-08-01 17:37:00,56.46,85.97,67.35,29.03,2.94,996.11,3.65,Station1,host-084,10.0.44.81,Windows,Singapore,Bob,bob@xyzcorp.com,+1-202-691-4215,99.63491237897095,False
Station1_LOG00026,SRV070,CL-1,2025-08-01 19:56:00,51.64,33.77,9.36,4.08,24.31,390.32,8.82,Station1,host-070,10.0.46.35,Linux,Singapore,Hannah,hannah@xyzcorp.com,+1-202-151-5538,97.79024903542617,True
Station1_LOG00027,SRV041,CL-10,2025-08-01 14:24:00,16.68,29.11,41.525000000000006,9.6,15.83,942.46,0.6,Station1,host-041,10.0.187.69,Linux,Mumbai,Hannah,hannah@xyzcorp.com,+1-202-151-5538,99.93637732487859,True
Station1_LOG00028,SRV097,CL-3,2025-08-02 14:09:00,22.94,57.61,72.63,26.89,1.75,286.72,7.76,Station1,host-097,10.0.44.225,Linux,New York,Diana,diana@xyzcorp.com,+1-202-789-3073,97.36484650910079,True
Station1_LOG00029,SRV097,CL-3,2025-08-02 20:50:00,13.77,66.45,12.54,1.67,21.44,315.56,9.14,Station1,host-097,10.0.44.225,Linux,New York,Diana,diana@xyzcorp.com,+1-202-789-3073,97.18509393286111,True
Station1_LOG00030,SRV010,CL-4,2025-08-02 21:57:00,26.34,46.75,21.02,20.88,12.74,462.45,7.04,Station1,host-010,10.0.44.34,Linux,London,Charlie,charlie@xyzcorp.com,+1-202-817-1167,98.50050054314255,True
Station1_LOG00031,SRV050,CL-1,2025-08-01 11:31:00,73.7,61.13,9.75,7.73,12.74,121.22,7.22,Station1,host-050,10.0.187.128,Linux,Singapore,Alice,alice@xyzcorp.com,+1-202-531-6896,94.37869822485207,True
Station1_LOG00032,SRV050,CL-1,2025-08-02 20:11:00,12.96,22.55,41.525000000000006,7.81,13.85,956.93,0.79,Station1,host-050,10.0.187.128,Linux,Singapore,Alice,alice@xyzcorp.com,+1-202-531-6896,99.91751242534352,True
Station1_LOG00033,SRV032,CL-4,2025-08-01 23:09:00,94.33,86.09,6.42,24.5,8.71,175.52,4.01,Station1,host-032,10.0.47.156,Linux,New York,Diana,diana@xyzcorp.com,+1-202-789-3073,97.76639001838133,False
Station1_LOG00034,SRV026,CL-2,2025-08-02 19:00:00,52.48,36.36,50.47,5.17,4.15,716.15,4.0,Station1,host-026,10.0.46.172,Linux,Frankfurt,Charlie,charlie@xyzcorp.com,+1-202-817-1167,99.44456016107756,True
Station1_LOG00035,SRV041,CL-10,2025-08-02 07:08:00,66.78,34.18,52.54,8.57,12.74,967.49,9.14,Station1,host-041,10.0.187.69,Linux,Mumbai,Hannah,hannah@xyzcorp.com,+1-202-151-5538,99.06412868742513,True
Station1_LOG00036,SRV067,CL-5,2025-08-01 06:04:00,21.8,77.86,41.94,12.73,19.15,662.34,5.21,Station1,host-067,10.0.93.42,Linux,Mumbai,Hannah,hannah@xyzcorp.com,+1-202-151-5538,99.21953411729459,True
Station1_LOG00037,SRV035,CL-6,2025-08-02 05:07:00,54.41,86.14,6.0,25.69,5.6,939.05,4.97,Station1,host-035,10.0.136.46,Windows,Singapore,Bob,bob@xyzcorp.com,+1-202-691-4215,99.47352810321814,False
Station1_LOG00038,SRV043,CL-8,2025-08-01 11:01:00,38.5,79.03,63.02,3.23,8.65,193.11,2.06,Station1,host-043,10.0.177.175,Linux,Singapore,Bob,bob@xyzcorp.com,+1-202-691-4215,98.94450991443357,True
Station1_LOG00039,SRV043,CL-8,2025-08-02 04:15:00,79.79,77.36,14.33,1.3,21.33,679.94,6.58,Station1,host-043,10.0.177.175,Linux,Singapore,Bob,bob@xyzcorp.com,+1-202-691-4215,99.04154285381343,True
Station1_LOG00040,SRV082,CL-10,2025-08-01 17:38:00,41.26,50.29,31.04,21.96,4.52,618.71,0.48,Station1,host-082,10.0.237.227,Windows,New York,Ethan,ethan@xyzcorp.com,+1-202-853-1213,99.92247936820685,True
Station1_LOG00041,SRV035,CL-6,2025-08-01 14:55:00,48.42,47.29,5.71,7.86,5.33,133.36,3.89,Station1,host-035,10.0.136.46,Windows,Singapore,Bob,bob@xyzcorp.com,+1-202-691-4215,97.16575591985429,True
Station1_LOG00042,SRV011,CL-7,2025-08-01 20:34:00,69.11,53.03,40.93,27.66,20.9,505.97,1.36,Station1,host-011,10.0.220.226,Windows,Singapore,Fiona,fiona@xyzcorp.com,+1-202-230-1591,99.73192990755524,True
Station1_LOG00043,SRV048,CL-9,2025-08-01 10:07:00,38.84,51.4,17.71,24.53,0.81,318.05,4.57,Station1,host-048,10.0.64.1,Linux,Frankfurt,Fiona,fiona@xyzcorp.com,+1-202-230-1591,98.5834728163164,True
Station1_LOG00044,SRV082,CL-10,2025-08-01 22:34:00,54.02,62.73,56.77,20.54,7.41,571.59,5.73,Station1,host-082,10.0.237.227,Windows,New York,Ethan,ethan@xyzcorp.com,+1-202-853-1213,99.00748285179796,True
Station1_LOG00045,SRV097,CL-3,2025-08-01 15:06:00,22.87,55.91,47.73,20.29,11.57,955.94,4.25,Station1,host-097,10.0.44.225,Linux,New York,Diana,diana@xyzcorp.com,+1-202-789-3073,99.5573792686864,True
Station1_LOG00046,SRV074,CL-3,2025-08-02 03:45:00,18.01,62.41,28.88,0.97,6.98,230.74,4.48,Station1,host-074,10.0.246.17,Windows,New York,Hannah,hannah@xyzcorp.com,+1-202-151-5538,98.09540005101609,True
Station1_LOG00047,SRV082,CL-10,2025-08-01 21:25:00,81.47,71.39,63.97,18.09,6.12,520.48,9.62,Station1,host-082,10.0.237.227,Windows,New York,Ethan,ethan@xyzcorp.com,+1-202-853-1213,98.18524806640256,False
Station1_LOG00048,SRV012,CL-3,2025-08-01 02:33:00,84.35,63.6,71.62,24.14,22.31,800.49,6.02,Station1,host-012,10.0.183.117,Windows,Singapore,Fiona,fiona@xyzcorp.com,+1-202-230-1591,99.25357404123942,False
Station1_LOG00049,SRV014,CL-10,2025-08-01 10:53:00,17.97,32.59,64.67,23.8,17.18,909.97,0.48,Station1,host-014,10.0.7.78,Windows,Mumbai,Fiona,fiona@xyzcorp.com,+1-202-230-1591,99.94727881816684,True
Station1_LOG00050,SRV011,CL-7,2025-08-02 23:15:00,40.0,59.04,47.33,18.3,14.56,386.62,1.81,Station1,host-011,10.0.220.226,Windows,Singapore,Fiona,fiona@xyzcorp.com,+1-202-230-1591,99.53402157402878,True
Station1_LOG00051,SRV050,CL-1,2025-08-01 03:49:00,86.23,55.91,46.29,5.01,7.45,323.45,0.49,Station1,host-050,10.0.187.128,Linux,Singapore,Alice,alice@xyzcorp.com,+1-202-531-6896,99.84873742050996,False
Station1_LOG00052,SRV023,CL-1,2025-08-01 01:07:00,83.34,55.91,19.88,8.03,21.64,931.27,2.5,Station1,host-023,10.0.60.118,Windows,Singapore,Diana,diana@xyzcorp.com,+1-202-789-3073,99.7322681174165,False
Station1_LOG00053,SRV020,CL-9,2025-08-02 08:30:00,32.0,57.22,22.94,15.91,3.81,932.23,8.22,Station1,host-020,10.0.236.93,Windows,London,Bob,bob@xyzcorp.com,+1-202-691-4215,99.12595034292094,True
Station1_LOG00054,SRV014,CL-10,2025-08-02 22:15:00,30.43,20.54,22.21,2.34,18.77,521.85,2.8,Station1,host-014,10.0.7.78,Windows,Mumbai,Fiona,fiona@xyzcorp.com,+1-202-230-1591,99.46631087391596,True
Station1_LOG00055,SRV001,CL-8,2025-08-01 10:03:00,45.17,59.13,54.21,2.35,11.64,307.03,9.14,Station1,host-001,10.0.186.8,Windows,London,George,george@xyzcorp.com,+1-202-749-4405,97.10915014074708,True
Station1_LOG00056,SRV048,CL-9,2025-08-02 22:59:00,58.01,63.79,20.84,14.46,4.67,899.03,1.55,Station1,host-048,10.0.64.1,Linux,Frankfurt,Fiona,fiona@xyzcorp.com,+1-202-230-1591,99.82788869395279,True
Station1_LOG00057,SRV028,CL-2,2025-08-02 18:08:00,23.22,33.61,35.78,3.81,2.63,508.24,3.98,Station1,host-028,10.0.151.99,Linux,Singapore,Fiona,fiona@xyzcorp.com,+1-202-230-1591,99.2229901214322,True
Station1_LOG00058,SRV077,CL-1,2025-08-01 09:51:00,91.01,77.01,76.93,20.85,6.33,823.64,8.97,Station1,host-077,10.0.30.24,Linux,New York,Diana,diana@xyzcorp.com,+1-202-789-3073,98.92266487310985,False
Station1_LOG00059,SRV082,CL-10,2025-08-01 01:15:00,78.93,25.08,38.84,19.5,13.49,367.89,1.47,Station1,host-082,10.0.237.227,Windows,New York,Ethan,ethan@xyzcorp.com,+1-202-853-1213,99.60201429499675,True
Station1_LOG00060,SRV050,CL-1,2025-08-02 22:32:00,84.36,28.7,75.04,26.84,18.78,124.85,0.7,Station1,host-050,10.0.187.128,Linux,Singapore,Alice,alice@xyzcorp.com,+1-202-531-6896,99.44245320589407,False
Station1_LOG00061,SRV029,CL-2,2025-08-01 10:55:00,31.83,32.48,42.3,13.06,12.74,549.39,9.28,Station1,host-029,10.0.94.201,Windows,Mumbai,George,george@xyzcorp.com,+1-202-749-4405,98.33891205899727,True
Station1_LOG00062,SRV078,CL-1,2025-08-02 04:01:00,11.1,39.73,50.78,6.52,17.16,508.43,6.37,Station1,host-078,10.0.59.148,Linux,Singapore,George,george@xyzcorp.com,+1-202-749-4405,98.76262626262627,True
Station1_LOG00063,SRV027,CL-7,2025-08-01 05:11:00,56.21,44.83,61.32,23.62,4.63,671.06,6.83,Station1,host-027,10.0.70.125,Linux,Singapore,Bob,bob@xyzcorp.com,+1-202-691-4215,98.9924619038487,True
Station1_LOG00064,SRV045,CL-2,2025-08-02 19:51:00,12.44,55.91,50.5,23.16,24.24,776.32,7.3,Station1,host-045,10.0.248.214,Linux,New York,Charlie,charlie@xyzcorp.com,+1-202-817-1167,99.06842602281719,True
Station1_LOG00065,SRV063,CL-10,2025-08-01 00:34:00,50.26,76.1,14.44,3.25,13.32,606.7,8.38,Station1,host-063,10.0.167.228,Windows,New York,Alice,alice@xyzcorp.com,+1-202-531-6896,98.63757559992197,True
Station1_LOG00066,SRV014,CL-10,2025-08-02 09:59:00,77.96,88.04,74.86,7.85,14.09,395.38,4.88,Station1,host-014,10.0.7.78,Windows,Mumbai,Fiona,fiona@xyzcorp.com,+1-202-230-1591,98.78079248488483,False
Station1_LOG00067,SRV027,CL-7,2025-08-01 20:13:00,22.67,28.7,71.97,14.78,2.03,513.87,6.68,Station1,host-027,10.0.70.125,Linux,Singapore,Bob,bob@xyzcorp.com,+1-202-691-4215,98.71674190759774,True
Station1_LOG00068,SRV040,CL-6,2025-08-02 10:53:00,40.92,31.2,22.55,21.94,18.74,733.59,0.22,Station1,host-040,10.0.135.185,Windows,New York,Bob,bob@xyzcorp.com,+1-202-691-4215,99.97001948733323,True
Station1_LOG00069,SRV023,CL-1,2025-08-02 23:40:00,63.88,21.13,19.1,23.9,12.74,499.99,8.19,Station1,host-023,10.0.60.118,Windows,Singapore,Diana,diana@xyzcorp.com,+1-202-789-3073,98.38836632689205,True
Station1_LOG00070,SRV031,CL-7,2025-08-01 12:52:00,53.06,61.87,41.525000000000006,10.54,9.45,241.21,9.73,Station1,host-031,10.0.74.72,Linux,London,Bob,bob@xyzcorp.com,+1-202-691-4215,96.12257910257432,True
Station1_LOG00071,SRV084,CL-9,2025-08-02 14:32:00,38.4,27.48,15.25,28.45,16.69,799.09,3.7,Station1,host-084,10.0.44.81,Windows,Singapore,Bob,bob@xyzcorp.com,+1-202-691-4215,99.5391073630713,True
Station1_LOG00072,SRV073,CL-3,2025-08-01 13:54:00,49.5,63.37,9.18,1.95,6.6,887.46,0.05,Station1,host-073,10.0.191.2,Linux,New York,George,george@xyzcorp.com,+1-202-749-4405,99.99436626066186,True
Station1_LOG00073,SRV091,CL-2,2025-08-01 07:25:00,74.79,55.91,79.92,5.95,21.4,304.79,3.22,Station1,host-091,10.0.22.9,Windows,London,Hannah,hannah@xyzcorp.com,+1-202-151-5538,98.95457939677283,True
Station1_LOG00074,SRV032,CL-4,2025-08-02 12:04:00,89.44,26.08,31.89,14.13,16.64,656.8,3.7,Station1,host-032,10.0.47.156,Linux,New York,Diana,diana@xyzcorp.com,+1-202-789-3073,99.43981831945496,False
Station1_LOG00075,SRV048,CL-9,2025-08-02 20:39:00,71.07,27.57,61.6,9.45,20.96,668.99,0.73,Station1,host-048,10.0.64.1,Linux,Frankfurt,Fiona,fiona@xyzcorp.com,+1-202-230-1591,99.89099922355611,True
Station1_LOG00076,SRV066,CL-9,2025-08-01 20:24:00,68.11,88.93,47.83,9.31,2.49,524.22,0.15,Station1,host-066,10.0.248.134,Linux,Frankfurt,Bob,bob@xyzcorp.com,+1-202-691-4215,99.971394244522,False
Station1_LOG00077,SRV056,CL-4,2025-08-01 09:26:00,41.55,30.18,63.53,1.46,3.74,521.52,5.4,Station1,host-056,10.0.140.244,Windows,New York,George,george@xyzcorp.com,+1-202-749-4405,98.97517649738101,True
Station1_LOG00078,SRV005,CL-3,2025-08-02 18:49:00,40.05,70.27,73.56,5.66,18.06,138.34,0.5,Station1,host-005,10.0.39.146,Windows,New York,Diana,diana@xyzcorp.com,+1-202-789-3073,99.63987323537886,True
Station1_LOG00079,SRV081,CL-4,2025-08-02 18:10:00,61.88,60.47,21.65,4.39,17.93,473.26,3.09,Station1,host-081,10.0.91.217,Windows,London,Ethan,ethan@xyzcorp.com,+1-202-853-1213,99.3513173087016,True
Station1_LOG00080,SRV008,CL-1,2025-08-02 12:24:00,78.39,48.66,49.95,2.0,6.76,968.21,7.93,Station1,host-008,10.0.121.33,Linux,New York,Bob,bob@xyzcorp.com,+1-202-691-4215,99.18761653041572,True
Station1_LOG00081,SRV054,CL-9,2025-08-01 11:11:00,35.23,74.04,25.01,13.43,10.45,560.85,6.54,Station1,host-054,10.0.204.57,Windows,Mumbai,Charlie,charlie@xyzcorp.com,+1-202-817-1167,98.8473536720774,True
Station1_LOG00082,SRV077,CL-1,2025-08-02 15:07:00,82.86,22.41,41.4,13.41,23.08,459.66,9.1,Station1,host-077,10.0.30.24,Linux,New York,Diana,diana@xyzcorp.com,+1-202-789-3073,98.05870808089428,False
Station1_LOG00083,SRV073,CL-3,2025-08-01 16:08:00,87.94,55.91,15.65,26.71,1.03,208.72,0.32,Station1,host-073,10.0.191.2,Linux,New York,George,george@xyzcorp.com,+1-202-749-4405,99.84691924990433,False
Station1_LOG00084,SRV078,CL-1,2025-08-02 00:24:00,62.8,68.46,28.52,17.89,13.55,637.38,2.31,Station1,host-078,10.0.59.148,Linux,Singapore,George,george@xyzcorp.com,+1-202-749-4405,99.63888758617456,True
Station1_LOG00085,SRV046,CL-7,2025-08-01 11:03:00,44.54,87.98,66.53,16.71,12.26,347.43,8.6,Station1,host-046,10.0.23.82,Linux,New York,George,george@xyzcorp.com,+1-202-749-4405,97.584473218549,False
Station1_LOG00086,SRV016,CL-2,2025-08-02 02:51:00,59.26,22.47,59.39,16.94,1.8,589.54,6.83,Station1,host-016,10.0.2.195,Windows,Mumbai,Charlie,charlie@xyzcorp.com,+1-202-817-1167,98.85473783054144,True
Station1_LOG00087,SRV094,CL-8,2025-08-02 05:02:00,75.4,24.75,70.36,9.52,11.63,959.66,2.8,Station1,host-094,10.0.160.175,Linux,Singapore,Ethan,ethan@xyzcorp.com,+1-202-853-1213,99.70907881886001,True
Station1_LOG00088,SRV008,CL-1,2025-08-02 22:44:00,66.0,41.15,44.91,2.18,13.36,768.04,0.36,Station1,host-008,10.0.121.33,Linux,New York,Bob,bob@xyzcorp.com,+1-202-691-4215,99.95314940135346,True
Station1_LOG00089,SRV032,CL-4,2025-08-01 11:20:00,39.67,25.42,70.11,19.26,10.34,981.16,1.96,Station1,host-032,10.0.47.156,Linux,New York,Diana,diana@xyzcorp.com,+1-202-789-3073,99.80063471397183,True
Station1_LOG00090,SRV066,CL-9,2025-08-02 07:37:00,36.91,75.14,6.62,11.99,2.69,365.47,7.05,Station1,host-066,10.0.248.134,Linux,Frankfurt,Bob,bob@xyzcorp.com,+1-202-691-4215,98.10748416192419,True
Station1_LOG00091,SRV034,CL-6,2025-08-01 06:55:00,60.36,50.0,51.27,6.31,20.47,558.02,5.95,Station1,host-034,10.0.70.112,Linux,Singapore,Hannah,hannah@xyzcorp.com,+1-202-151-5538,98.94497934287284,True
Station1_LOG00092,SRV034,CL-6,2025-08-01 15:43:00,75.83,63.02,14.92,26.54,15.15,490.92,3.44,Station1,host-034,10.0.70.112,Linux,Singapore,Hannah,hannah@xyzcorp.com,+1-202-151-5538,99.30415082126386,True
Station1_LOG00093,SRV014,CL-10,2025-08-02 07:21:00,85.95,26.79,35.61,18.72,14.45,777.27,3.96,Station1,host-014,10.0.7.78,Windows,Mumbai,Fiona,fiona@xyzcorp.com,+1-202-230-1591,99.49310702353979,False
Station1_LOG00094,SRV066,CL-9,2025-08-02 11:34:00,14.05,64.27,32.16,26.33,18.04,741.29,6.36,Station1,host-066,10.0.248.134,Linux,Frankfurt,Bob,bob@xyzcorp.com,+1-202-691-4215,99.1493345816893,True
Station1_LOG00095,SRV031,CL-7,2025-08-01 12:33:00,59.69,38.51,63.98,22.95,3.57,134.69,1.54,Station1,host-031,10.0.74.72,Linux,London,Bob,bob@xyzcorp.com,+1-202-691-4215,98.86955883432431,True
Station1_LOG00096,SRV008,CL-1,2025-08-02 00:19:00,44.96,54.8,76.64,19.44,16.12,917.43,0.21,Station1,host-008,10.0.121.33,Linux,New York,Bob,bob@xyzcorp.com,+1-202-691-4215,99.97711520857852,True
Station1_LOG00097,SRV034,CL-6,2025-08-02 16:07:00,84.65,66.29,21.06,16.59,4.71,680.47,7.81,Station1,host-034,10.0.70.112,Linux,Singapore,Hannah,hannah@xyzcorp.com,+1-202-151-5538,98.86528738304179,False
Station1_LOG00098,SRV028,CL-2,2025-08-01 15:58:00,49.8,89.85,73.09,26.34,2.49,384.41,4.19,Station1,host-028,10.0.151.99,Linux,Singapore,Fiona,fiona@xyzcorp.com,+1-202-230-1591,98.92177045805455,False
Station1_LOG00099,SRV081,CL-4,2025-08-02 21:44:00,78.12,52.25,7.22,24.99,11.75,447.65,0.29,Station1,host-081,10.0.91.217,Windows,London,Ethan,ethan@xyzcorp.com,+1-202-853-1213,99.93525918649819,True
Station1_LOG00100,SRV094,CL-8,2025-08-01 09:47:00,50.36,55.91,47.08,20.03,21.85,388.56,1.47,Station1,host-094,10.0.160.175,Linux,Singapore,Ethan,ethan@xyzcorp.com,+1-202-853-1213,99.62310591492961,True
Station1_LOG00101,SRV071,CL-2,2025-08-01 17:55:00,17.2,88.34,77.36,29.48,5.29,373.43,9.85,Station1,host-071,10.0.214.19,Linux,Frankfurt,Hannah,hannah@xyzcorp.com,+1-202-151-5538,97.43007722813608,False
Station1_LOG00102,SRV091,CL-2,2025-08-02 05:39:00,68.91,70.23,50.74,12.65,6.94,705.75,6.24,Station1,host-091,10.0.22.9,Windows,London,Hannah,hannah@xyzcorp.com,+1-202-151-5538,99.12358319639321,True
Station1_LOG00103,SRV084,CL-9,2025-08-02 15:06:00,43.89,78.21,27.13,19.71,2.35,763.47,2.88,Station1,host-084,10.0.44.81,Windows,Singapore,Bob,bob@xyzcorp.com,+1-202-691-4215,99.62419260129184,True
Station1_LOG00104,SRV063,CL-10,2025-08-02 10:26:00,27.42,37.72,41.525000000000006,0.55,11.51,373.44,8.63,Station1,host-063,10.0.167.228,Windows,New York,Alice,alice@xyzcorp.com,+1-202-531-6896,97.74125160310938,True
Station1_LOG00105,SRV029,CL-2,2025-08-02 15:09:00,64.72,45.38,16.6,10.82,14.86,398.63,7.67,Station1,host-029,10.0.94.201,Windows,Mumbai,George,george@xyzcorp.com,+1-202-749-4405,98.112232340635,True
Station1_LOG00106,SRV034,CL-6,2025-08-01 04:09:00,32.24,35.64,51.38,25.36,6.28,876.1,6.93,Station1,host-034,10.0.70.112,Linux,Singapore,Hannah,hannah@xyzcorp.com,+1-202-151-5538,99.2152022015107,True
Station1_LOG00107,SRV035,CL-6,2025-08-02 16:55:00,35.4,89.66,63.78,23.01,16.25,306.24,2.01,Station1,host-035,10.0.136.46,Windows,Singapore,Bob,bob@xyzcorp.com,+1-202-691-4215,99.34793187347933,False
Station1_LOG00108,SRV012,CL-3,2025-08-02 20:25:00,27.94,50.5,68.49,10.98,15.68,569.31,3.55,Station1,host-012,10.0.183.117,Windows,Singapore,Fiona,fiona@xyzcorp.com,+1-202-230-1591,99.38030234263171,True
Station1_LOG00109,SRV089,CL-1,2025-08-02 08:11:00,44.11,87.94,56.17,28.52,12.54,108.68,1.9,Station1,host-089,10.0.225.14,Windows,Frankfurt,Hannah,hannah@xyzcorp.com,+1-202-151-5538,98.28178694158075,False
Station1_LOG00110,SRV045,CL-2,2025-08-01 07:09:00,88.66,85.42,59.18,26.55,12.77,124.2,7.36,Station1,host-045,10.0.248.214,Linux,New York,Charlie,charlie@xyzcorp.com,+1-202-817-1167,94.4055944055944,False
Station1_LOG00111,SRV086,CL-4,2025-08-01 00:05:00,54.48,46.96,28.83,28.11,12.74,895.3,8.01,Station1,host-086,10.0.41.192,Linux,New York,Hannah,hannah@xyzcorp.com,+1-202-151-5538,99.11326122814981,True
